Year,Year_Thai,"	Prov",MSW_GenRate(ton/d),MSW_GenRate(kg/c/d),MSW_Reclycled,MSW_ProperDisposed,MSW_ImproperDisposed,Gen_Waste,Food_Waste,Recycl_Waste,Hazard_Waste,Pop,Pop_Total,Area_km2,Pop_Density,Age_0_5,Age_6_17,Age_18_24,Age_25_44,Age_45_64,Age_65plus,Male,Female,Employed,Unemployed,No_Households,HH_Income_Avg,GPP_per_Capita,GPP_Agriculture(%),GPP_Industrial(%),GPP_Services(%),LAO_Special,City_Muni,Town_Muni,Subdist_Muni,SAO,District_BKK,Visitors(ppl),Excursionists(ppl),Cluster,Cluster_Label
2021,2564,Ranong,835,4.29,48,,187,0,0,0,0,194573,250140,3298,59,7.13,17.23,9.35,28.39,26.61,11.12,50.27,49.56,97.11882259,2.881177406,83,21990.56,105647,45.18,9.12,45.7,0,0,2,10,18,0,140884,28688,1,Agricultural
2021,2564,Rayong,890,1.18,105,910,71,0,0,0,0,751343,1003088,3552,211.5,6.53,15.88,8.8,32.51,27.59,9.76,49.63,51.44,99.10541645,0.894583547,372,28142.07,913660,2.62,79.48,17.9,0,1,2,27,37,0,1119364,508182,0,Industrial
2021,2564,Ratchaburi,1236,1.42,142,340,215,0,0,0,0,868281,952593,5196,167.1,5.11,13.93,8.76,28.54,29.07,14.3,48.41,51.31,98.2581314,1.741868595,256,25995.16,223090,17.98,42.01,40.01,0,0,4,31,76,0,405455,341803,0,Industrial
2021,2564,Lop Buri,310,0.42,191,,681,0,0,0,0,739473,782783,6200,119.3,4.68,12.78,9.87,27.79,29.73,14.58,49.53,49.9,97.87483194,2.125168062,264,26676.28,143406,16.38,34.3,49.31,0,0,3,20,102,0,376970,573882,3,Mixed Economies
2021,2564,Lampang,2515,3.47,136,130,297,32.1,28.4,38.8,0.7,724678,741202,12534,57.8,3.71,10.15,7.18,27.28,33.17,17.7,48.24,50.95,98.30354988,1.696450118,263,19857.63,106422,11.02,34.51,54.47,0,1,3,38,60,0,276991,355585,3,Mixed Economies
2021,2564,Lamphun,178,0.44,118,70,92,8,50.3,41.3,0.4,401139,438277,4506,89,4.38,11.15,6.75,28.62,31.32,17.39,47.76,51.84,98.62310941,1.376890587,143,25377.46,223214,14.03,55.57,30.4,0,0,1,39,17,0,142261,300347,0,Industrial
2021,2564,Loei,868,1.36,280,,315,22.71,37.4,39.59,0.3,638732,648612,11425,55.9,5.46,13.95,8.27,28.28,30.39,13.43,49.96,49.82,99.33615792,0.663842084,156,26532.42,106400,27.48,18.3,54.22,0,0,2,27,71,0,333508,377607,3,Mixed Economies
2021,2564,Si Sa Ket,621,0.43,393,135,307,20.1,38.86,41.05,0,1457556,1463347,8840,164.9,5.3,14.27,9.05,29.61,29.26,12.32,49.66,50.15,98.49772891,1.502271089,303,16568.69,83959,27.32,9.66,63.02,0,0,2,35,179,0,168864,194699,3,Mixed Economies
2021,2564,Sakon Nakhon,493,0.43,480,123,287,21.49,33.71,44.18,0.62,1146286,1157990,9606,119.3,5.34,14.8,9.22,29.7,30.03,10.81,49.6,50.3,99.381996,0.618004003,265,22507.75,72854,25.37,11.07,63.56,0,1,0,65,74,0,286980,231101,3,Mixed Economies
2021,2564,Songkhla,154,0.11,357,715,164,0,0,0,0,1431536,1495026,7394,193.6,6.37,16.38,9.68,29.44,26.13,11.96,48.65,51.31,96.61895889,3.38104111,504,22691.4,145944,12.99,32.12,54.89,0,2,11,35,92,0,484666,97655,3,Mixed Economies
2021,2564,Satun,755,2.32,198,85,27,0,0,0,0,324835,334779,2479,131,7.32,18.64,10.02,30.28,24.3,9.58,49.83,50.31,96.20583305,3.794166946,81,23866.82,113364,41.41,11.48,47.12,0,0,1,6,34,0,360066,143261,1,Agricultural
2021,2564,Samut Prakan,988,0.73,186,,2329,0,0,0,0,1356449,2229691,1004,1350.9,5.55,14.2,8.26,31.35,29.44,11.48,47.68,52.6,97.40760447,2.592395525,791,32913.65,285730,0.65,50.32,49.03,0,1,7,14,26,0,165332,295041,0,Industrial
2021,2564,Samut Songkhram,1139,5.97,35,100,43,0,0,0,0,190842,212954,417,458,4.26,12.23,7.72,27.17,30.36,17.53,47.36,51.91,97.71367078,2.286329224,64,24964.12,160797,22.68,24.62,52.7,0,0,1,8,26,0,237454,697115,3,Mixed Economies
2021,2564,Samut Sakhon,421,0.72,64,757,47,0,0,0,0,586789,1052260,872,672.7,6.61,17,8.3,29.42,27.76,11.36,48.31,52.14,98.820993,1.179006995,375,27590.85,391955,1.69,70.52,27.79,0,2,2,10,23,0,63819,77568,0,Industrial
2021,2564,Sa Kaeo,654,1.16,217,,276,0,0,0,0,561992,609967,7195,78.1,6.22,15.28,9.44,29.46,28.56,11.19,50.05,50.1,97.82209718,2.177902816,215,20709.22,73907,25.75,20.86,53.39,0,0,3,13,49,0,195624,177004,3,Mixed Economies
2021,2564,Saraburi,325,0.5,133,287,201,0,0,0,0,643963,736601,3576,180.1,5.3,13.91,9.32,28.66,29.34,12.63,48.64,50.53,97.75172635,2.248273647,232,33660.05,328043,4.49,67.12,28.38,0,0,4,34,70,0,396764,815525,0,Industrial
2021,2564,Sing Buri,218,1.07,53,22,79,0,0,0,0,204526,226534,822,248.7,4.14,12.19,7.58,26.67,30.43,18.15,47.11,52.05,97.13006348,2.869936518,69,26597.88,142226,10.1,32.92,56.97,0,0,2,6,33,0,60779,124147,3,Mixed Economies
2021,2564,Sukhothai,1127,1.93,203,74,144,25.2,39.6,35.13,0.07,585352,623095,6596,88.7,4.33,12.6,7.78,26.84,32.38,15.44,48.08,51.29,96.46486023,3.535139774,214,22460.92,82382,32.22,13.22,54.57,0,0,3,18,69,0,222058,142443,1,Agricultural
2021,2564,Suphan Buri,332,0.4,278,60,417,24.5,44,31,0.5,835360,857784,5358,155.9,4.75,13.23,8.03,28.26,29.62,15.55,47.93,51.51,98.77042043,1.229579574,289,17573.7,108979,26.89,23.06,50.05,0,0,2,44,80,0,337683,923054,3,Mixed Economies
2021,2564,Surat Thani,204,0.19,307,,681,8.3,49.94,41.06,0.7,1072464,1142648,12891,83.2,6.26,15.99,9.2,29.58,27.66,11.42,49.19,50.92,97.97802802,2.021971977,345,34402.22,156202,27.79,19.81,52.41,0,2,3,35,97,0,461453,109197,1,Agricultural
2021,2564,Surin,1580,1.15,734,55,350,21.14,28.4,49.63,0.83,1376230,1413761,8124,169.4,5.44,14.66,9.28,29.73,28,12.65,49.58,50.18,97.77339397,2.226606034,334,24008.81,82630,25.29,14.1,60.61,0,0,1,27,144,0,288117,92989,3,Mixed Economies
2021,2564,Nong Khai,235,0.45,125,133,396,34.08,32.97,32.36,0.59,516843,529942,3027,170.8,5.12,14.11,9.02,28.83,30.68,12.04,49.41,50.38,96.36003455,3.63996545,138,21574.78,98189,22.72,21.75,55.53,0,0,2,17,48,0,349205,305462,3,Mixed Economies
2021,2564,Nong Bua Lam Phu,834,1.64,130,60,135,0,0,0,0,509001,530599,3859,131.9,5.31,14.3,8.85,29.68,30.25,11.47,49.77,50.09,98.78590714,1.214092861,144,23867.04,64724,21.12,22.06,56.82,0,0,1,23,43,0,36573,48469,3,Mixed Economies
2021,2564,Ang Thong,1415,5.15,50,150,35,0,0,0,0,274763,307028,968,283.7,4.28,12.55,7.9,27.31,30.38,16.79,47.44,51.77,97.13595349,2.864046513,86,24509.73,125326,12.61,37.04,50.35,0,0,1,20,43,0,52938,208882,3,Mixed Economies
2021,2564,Amnat Charoen,487,1.29,98,,120,30.75,38.26,30.99,0,376350,383735,3161,119.1,5.35,13.79,8.69,29.59,30.17,12.15,49.58,50.16,98.50181498,1.498185018,82,20814.25,77995,27.7,11.85,60.45,0,0,1,23,39,0,64382,55428,3,Mixed Economies
2021,2564,Udon Thani,637,0.41,383,386,358,42.49,25.34,31.43,0.74,1566510,1590216,11730,133.5,5.16,14.13,9,29.76,30.29,11.43,49.3,50.48,97.3460782,2.6539218,374,22606.52,92028,17.39,19.9,62.71,0,1,3,67,109,0,562504,434458,3,Mixed Economies
2021,2564,Uttaradit,595,1.33,169,68,95,0,0,0,0,446148,455630,7839,56.9,4.06,12.01,8.31,26.33,32.24,16.33,48.34,50.95,98.46479471,1.535205292,148,21664.34,105203,31.07,17.04,51.89,0,0,1,25,53,0,234276,99091,1,Agricultural
2021,2564,Uthai Thani,426,1.31,95,70,39,14.3,44.3,40.9,0.5,325116,334075,6730,48.3,5.1,13.67,8.28,27.4,29.57,15.59,48.64,50.97,99.82315156,0.176848439,100,18427.96,104285,33.6,15.2,51.2,0,0,1,13,49,0,116815,177410,1,Agricultural
2021,2564,Ubon Ratchathani,206,0.11,841,420,319,11.48,34.58,53.93,0.2,1868519,1905105,15745,118.7,5.66,14.75,9.52,30.18,28.53,11.43,49.89,50.18,98.53067187,1.469328133,545,20969.28,79594,19.45,16.61,63.94,0,1,4,54,179,0,639959,404743,3,Mixed Economies
